_id,user,date,type,data.status,data.trama,createdAt,updatedAt,__v
65491be7be6419ef87b185d6,350544500731230,2023-11-06T17:01:27.385Z,TLK_T,offline,119;82;true;1699290085000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65526|184;0;65523|185;0;65528|187;0;5|190;0;0|172;0;12791|201;0;4030|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:27.386Z,2023-11-06T17:01:27.386Z,0
65491be6be6419ef87b185d4,350544500731230,2023-11-06T17:01:26.420Z,TLK_T,offline,119;82;true;1699290083000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65522|184;0;65517|185;0;65524|187;0;5|190;0;0|172;0;12784|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:26.423Z,2023-11-06T17:01:26.423Z,0
65491be2be6419ef87b185d2,350544500731230,2023-11-06T17:01:22.230Z,TLK_T,offline,119;82;true;1699290080000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65526|184;0;65523|185;0;65525|187;0;5|190;0;0|172;0;12798|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:22.231Z,2023-11-06T17:01:22.231Z,0
65491bdfbe6419ef87b185d0,350544500731230,2023-11-06T17:01:19.461Z,TLK_T,offline,119;82;true;1699290077000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65520|184;0;65525|185;0;65530|187;0;5|190;0;0|172;0;12791|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:19.462Z,2023-11-06T17:01:19.462Z,0
65491bddbe6419ef87b185ce,350544500731230,2023-11-06T17:01:17.472Z,TLK_T,offline,119;82;true;1699290075000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65526|184;0;65521|185;0;65524|187;0;5|190;0;0|172;0;12787|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:17.473Z,2023-11-06T17:01:17.473Z,0
65491bdcbe6419ef87b185cc,357073295374272,2023-11-06T17:01:16.713Z,TLK_T,offline,119;82;true;1699290045000;45.9162866;1.2141416;3;0;0;0|126;0;0|131;0;173|182;0;4465427|183;0;65421|184;0;65485|185;0;65528|172;0;12122|201;0;3921|202;0;0|203;0;3|214;0;4|245;0;82|309;0;1|330;0;2|369;0;0|370;0;0|404;0;0,2023-11-06T17:01:16.714Z,2023-11-06T17:01:16.714Z,0
65491bdbbe6419ef87b185ca,350544500731230,2023-11-06T17:01:15.625Z,TLK_T,offline,119;82;true;1699290073000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65529|184;0;65524|185;0;65519|187;0;5|190;0;0|172;0;12795|201;0;4030|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:15.627Z,2023-11-06T17:01:15.627Z,0
65491bd9be6419ef87b185c8,350544500731230,2023-11-06T17:01:13.578Z,TLK_T,offline,119;82;true;1699290071000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65521|184;0;65528|185;0;65520|187;0;5|190;0;0|172;0;12788|201;0;4030|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:13.579Z,2023-11-06T17:01:13.579Z,0
65491bd7be6419ef87b185c6,350544500731230,2023-11-06T17:01:11.892Z,TLK_T,offline,119;82;true;1699290070000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65526|184;0;65526|185;0;65524|187;0;5|190;0;0|172;0;12785|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:11.893Z,2023-11-06T17:01:11.893Z,0
65491bd7be6419ef87b185c4,350544500731230,2023-11-06T17:01:11.033Z,TLK_T,offline,119;82;true;1699290068000;41.4032166;2.02462;3;29;0;210|177;0;893108132|178;0;127063|179;0;153|180;0;1068231885|181;0;1000|182;0;3915442|183;0;65530|184;0;65524|185;0;65520|187;0;5|190;0;0|172;0;12784|201;0;4031|202;0;0|203;0;1|214;0;2|287;0;0|311;0;8|312;0;5|329;0;0|330;0;0|368;0;0|369;0;0|370;0;0|371;0;21401|404;0;0,2023-11-06T17:01:11.034Z,2023-11-06T17:01:11.034Z,0
